City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
360,Waipawa,73,NZ,2021-11-28 19:52:47,72,-41.4122,175.5153,61.43,4.43
361,The Pas,1,CA,2021-11-28 19:52:47,79,53.8251,-101.2541,15.82,6.91
362,Road Town,40,VG,2021-11-28 19:52:47,62,18.4167,-64.6167,86.04,8.05
363,Winnipeg,75,CA,2021-11-28 19:51:38,59,49.8844,-97.147,26.58,1.14
364,Parnu-Jaagupi,94,EE,2021-11-28 19:53:48,92,58.6105,24.5069,26.89,6.73
365,Semnan,2,IR,2021-11-28 19:53:48,55,35.5729,53.3971,47.28,2.26
366,Biscarrosse,75,FR,2021-11-28 19:53:48,93,44.3945,-1.1672,42.75,9.22
367,College,75,US,2021-11-28 19:53:49,71,64.8569,-147.8028,-25.65,0.0
368,Narsaq,100,GL,2021-11-28 19:53:49,100,60.9167,-46.05,38.8,3.09
369,Talaya,100,RU,2021-11-28 19:53:49,99,61.3833,152.75,-8.61,4.32
370,Creel,100,MX,2021-11-28 19:53:50,42,27.75,-107.6333,53.78,13.02
371,Dandong,100,CN,2021-11-28 19:53:50,76,40.1292,124.3947,38.08,2.95
372,Hamilton,1,US,2021-11-28 19:49:36,42,39.1834,-84.5333,45.84,14.97
373,Tabas,93,IR,2021-11-28 19:53:50,29,33.5959,56.9244,57.81,0.92
374,Lompoc,1,US,2021-11-28 19:50:15,18,34.6391,-120.4579,73.81,0.0
375,Hervey Bay,52,AU,2021-11-28 19:53:51,88,-25.2986,152.8535,71.71,14.7
376,Saquena,100,PE,2021-11-28 19:53:51,70,-4.6667,-73.5167,83.55,1.95
377,Lastoursville,100,GA,2021-11-28 19:53:51,85,-0.8143,12.7287,75.22,1.23
378,Kerrobert,45,CA,2021-11-28 19:53:52,89,51.9168,-109.1348,41.2,3.53
379,Armidale,85,AU,2021-11-28 19:53:52,96,-30.5167,151.65,55.22,4.9
380,Tommot,95,RU,2021-11-28 19:53:52,98,58.9564,126.2925,-8.32,2.62
381,Swansea,45,GB,2021-11-28 19:53:53,77,51.6208,-3.9432,39.81,13.69
382,Kilindoni,97,TZ,2021-11-28 19:53:53,77,-7.9139,39.6668,81.3,12.66
383,Angoche,0,MZ,2021-11-28 19:53:53,66,-16.2325,39.9086,76.23,10.42
384,Quang Ngai,100,VN,2021-11-28 19:53:53,95,15.1167,108.8,75.34,11.68
385,Pechenga,33,RU,2021-11-28 19:53:54,93,69.5259,31.1703,-3.14,9.44
